DATES,UNIXDATES
2012-01-01,1325376000
2012-01-08,1325980800
2012-01-15,1326585600
2012-01-22,1327190400
2012-01-29,1327795200
2012-02-05,1328400000
2012-02-12,1329004800
2012-02-19,1329609600
2012-02-26,1330214400
2012-03-04,1330819200
2012-03-11,1331424000
2012-03-18,1332028800
2012-03-25,1332633600
2012-04-01,1333238400
2012-04-08,1333843200
2012-04-15,1334448000
2012-04-22,1335052800
2012-04-29,1335657600
2012-05-06,1336262400
2012-05-13,1336867200
2012-05-20,1337472000
2012-05-27,1338076800
2012-06-03,1338681600
2012-06-10,1339286400
2012-06-17,1339891200
2012-06-24,1340496000
2012-07-01,1341100800
2012-07-08,1341705600
2012-07-15,1342310400
2012-07-22,1342915200
2012-07-29,1343520000
2012-08-05,1344124800
2012-08-12,1344729600
2012-08-19,1345334400
2012-08-26,1345939200
2012-09-02,1346544000
2012-09-09,1347148800
2012-09-16,1347753600
2012-09-23,1348358400
2012-09-30,1348963200
2012-10-07,1349568000
2012-10-14,1350172800
2012-10-21,1350777600
2012-10-28,1351382400
2012-11-04,1351987200
2012-11-11,1352592000
2012-11-18,1353196800
2012-11-25,1353801600
2012-12-02,1354406400
2012-12-09,1355011200
2012-12-16,1355616000
2012-12-23,1356220800
2012-12-30,1356825600
2013-01-06,1357430400
2013-01-13,1358035200
2013-01-20,1358640000
2013-01-27,1359244800
2013-02-03,1359849600
2013-02-10,1360454400
2013-02-17,1361059200
2013-02-24,1361664000
2013-03-03,1362268800
2013-03-10,1362873600
2013-03-17,1363478400
2013-03-24,1364083200
2013-03-31,1364688000
2013-04-07,1365292800
2013-04-14,1365897600
2013-04-21,1366502400
2013-04-28,1367107200
2013-05-05,1367712000
2013-05-12,1368316800
2013-05-19,1368921600
2013-05-26,1369526400
2013-06-02,1370131200
2013-06-09,1370736000
2013-06-16,1371340800
2013-06-23,1371945600
2013-06-30,1372550400
2013-07-07,1373155200
2013-07-14,1373760000
2013-07-21,1374364800
2013-07-28,1374969600
2013-08-04,1375574400
2013-08-11,1376179200
2013-08-18,1376784000
2013-08-25,1377388800
2013-09-01,1377993600
2013-09-08,1378598400
2013-09-15,1379203200
2013-09-22,1379808000
2013-09-29,1380412800
2013-10-06,1381017600
2013-10-13,1381622400
2013-10-20,1382227200
2013-10-27,1382832000
2013-11-03,1383436800
2013-11-10,1384041600
2013-11-17,1384646400
2013-11-24,1385251200
2013-12-01,1385856000
2013-12-08,1386460800
2013-12-15,1387065600
2013-12-22,1387670400
2013-12-29,1388275200
2014-01-05,1388880000
2014-01-12,1389484800
2014-01-19,1390089600
2014-01-26,1390694400
2014-02-02,1391299200
2014-02-09,1391904000
2014-02-16,1392508800
2014-02-23,1393113600
2014-03-02,1393718400
2014-03-09,1394323200
2014-03-16,1394928000
2014-03-23,1395532800
2014-03-30,1396137600
2014-04-06,1396742400
2014-04-13,1397347200
2014-04-20,1397952000
2014-04-27,1398556800
2014-05-04,1399161600
2014-05-11,1399766400
2014-05-18,1400371200
2014-05-25,1400976000
2014-06-01,1401580800
2014-06-08,1402185600
2014-06-15,1402790400
2014-06-22,1403395200
2014-06-29,1404000000
2014-07-06,1404604800
2014-07-13,1405209600
2014-07-20,1405814400
2014-07-27,1406419200
2014-08-03,1407024000
2014-08-10,1407628800
2014-08-17,1408233600
2014-08-24,1408838400
2014-08-31,1409443200
2014-09-07,1410048000
2014-09-14,1410652800
2014-09-21,1411257600
2014-09-28,1411862400
2014-10-05,1412467200
2014-10-12,1413072000
2014-10-19,1413676800
2014-10-26,1414281600
2014-11-02,1414886400
2014-11-09,1415491200
2014-11-16,1416096000
2014-11-23,1416700800
2014-11-30,1417305600
2014-12-07,1417910400
2014-12-14,1418515200
2014-12-21,1419120000
2014-12-28,1419724800
